Id01;M.;Alain;CLEMENT;M;21/02/1970;;B+;France;Europe;EPINAY;EPINAY;27330;HAUTE-NORMANDIE;EURE;27;48.978759462, 0.641805752881;75 KG;1,6 m;21/02/1970
Id02;Mme;Inès;MIGNONNE;F;;01/01/2020;A;France;Europe;EPINAY-CHAMPLATREUX;EPINAY CHAMPLATREUX;95270;ILE-DE-FRANCE;VAL-D''OISE;95;49.0900262096, 2.40710033598;60 KG;1,67 m;
Id03;M.;Omar;BELLE;M;;?@;R;France;Europe;EPINAY-SOUS-SENART;EPINAY SOUS SENART;91860;ILE-DE-FRANCE;ESSONNE;91;48.6871527113, 2.51577225491;56 KG;1,72 m;
Id04;M.;Rayan;MIGNONNE;M;10/06/1961;rayan.mignonne@hotmail.com;A-;France;;EPINAY-SUR-DUCLAIR;EPINAY SUR DUCLAIR;76480;HAUTE-NORMANDIE;SEINE-MARITIME;76;49.5253630622, 0.835855173591;89 KG;1,85 m;10/06/1961
Id05;Mme;Eve;AIMANT;F;;eve.aimant@gmail.com;1;France;Europe;EPINAY-SUR-ODON;EPINAY SUR ODON;14310;BASSE-NORMANDIE;CALVADOS;14;49.0688314523, -0.61907881728;65 KG;1,62 m;
Id06;M.;Alain;MOUSTAFA;M;26/12/1969;alain.moustafa@yahoo.fr;++;France;Europe;EPINAY-SUR-ORGE;EPINAY SUR ORGE;91360;ILE-DE-FRANCE;ESSONNE;91;48.672618112, 2.31834586071;71 KG;1,76 m;26/12/1969
Id07;Mme;Sabrine;PRINTEMPS;F;14/11/1962;sabrine.printemps@hotmail.com;AB+;France;Europe;EPINAY-SUR-SEINE;EPINAY SUR SEINE;93800;ILE-DE-FRANCE;SEINE-SAINT-DENIS;93;48.9550132062, 2.31453043227;90 KG;1,83 m;14/11/1962
Id08;Mme;Clément;DELOIN;A+;14/11/1962;clément.deloin@gmail.com;AB+;France;Europe;EPINEAU-LES-VOVES;EPINEAU LES VOVES;89400;BOURGOGNE;YONNE;89;47.9468458779, 3.46998413291;76 KG;1,56 m;14/11/1962
Id09;Mme;Emna;AIMANT;F;14/04/1970;emna.aimant@hotmail.com;++;France;Europe;EPINEUIL;EPINEUIL;89700;BOURGOGNE;YONNE;89;47.8812855119, 3.98935069483;87 KG;1,66 m;14/04/1970
Id10;Mme;Claire;EXCELLE;F;02/03/1970;claire.excelle@gmail.com;AB-;France;Europe;EPINEUIL-LE-FLEURIEL;EPINEUIL LE FLEURIEL;18360;CENTRE;CHER;18;46.5709100191, 2.55643995578;84 KG;1,54 m;02/03/1970
Id11;M.;Mamadou;MOUSTAFA;M;02/03/1970;mamadou.moustafa@gmail.com;A+;France;Europe;EPINEU-LE-CHEVREUIL;EPINEU LE CHEVREUIL;72540;PAYS DE LA LOIRE;SARTHE;72;48.0405286412, -0.132212278805;80 KG;1,75 m;02/03/1970
Id12;M.;Jean;JOLIE;M;28/12/1978;01/01/2020;AB+;France;Europe;EPINEUSE;EPINEUSE;60190;PICARDIE;OISE;60;49.400292993, 2.5501491477;90 kg;1,58 m;28/12/1978
Id13;M.;Faouzi;GRANDE;M;31/12/1982;faouzi.grande@yahoo.fr;++;France;Europe;PARIS-10E-ARRONDISSEMENT;PARIS 10;75010;ILE-DE-FRANCE;PARIS;75;48.8760285569, 2.36111290453;64 kg;1,62 m;31/12/1982
